firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
JAMES,,SMITH,JAMES.SMITH,,,,,,,,123456,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOHN,,JOHNSON,JOHN.JOHNSON,,,,,,,,12345,,,Contoso,"CN=Users,DC=contoso,DC=com"
ROBERT,,WILLIAMS,ROBERT.WILLIAMS,,,,,,,,123456789,,,Contoso,"CN=Users,DC=contoso,DC=com"
MICHAEL,,JONES,MICHAEL.JONES,,,,,,,,password,,,Contoso,"CN=Users,DC=contoso,DC=com"
WILLIAM,,BROWN,WILLIAM.BROWN,,,,,,,,iloveyou,,,Contoso,"CN=Users,DC=contoso,DC=com"
DAVID,,DAVIS,DAVID.DAVIS,,,,,,,,princess,,,Contoso,"CN=Users,DC=contoso,DC=com"
RICHARD,,MILLER,RICHARD.MILLER,,,,,,,,1234567,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHARLES,,WILSON,CHARLES.WILSON,,,,,,,,rockyou,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOSEPH,,MOORE,JOSEPH.MOORE,,,,,,,,12345678,,,Contoso,"CN=Users,DC=contoso,DC=com"
THOMAS,,TAYLOR,THOMAS.TAYLOR,,,,,,,,abc123,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHRISTOPHER,,ANDERSON,CHRISTOPHER.ANDERSON,,,,,,,,nicole,,,Contoso,"CN=Users,DC=contoso,DC=com"
DANIEL,,THOMAS,DANIEL.THOMAS,,,,,,,,daniel,,,Contoso,"CN=Users,DC=contoso,DC=com"
PAUL,,JACKSON,PAUL.JACKSON,,,,,,,,babygirl,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARK,,WHITE,MARK.WHITE,,,,,,,,monkey,,,Contoso,"CN=Users,DC=contoso,DC=com"
DONALD,,HARRIS,DONALD.HARRIS,,,,,,,,lovely2020,,,Contoso,"CN=Users,DC=contoso,DC=com"
GEORGE,,MARTIN,GEORGE.MARTIN,,,,,,,,jessica,,,Contoso,"CN=Users,DC=contoso,DC=com"
KENNETH,,THOMPSON,KENNETH.THOMPSON,,,,,,,,654321,,,Contoso,"CN=Users,DC=contoso,DC=com"
STEVEN,,GARCIA,STEVEN.GARCIA,,,,,,,,michael,,,Contoso,"CN=Users,DC=contoso,DC=com"
EDWARD,,MARTINEZ,EDWARD.MARTINEZ,,,,,,,,ashley,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRIAN,,ROBINSON,BRIAN.ROBINSON,,,,,,,,qwerty,,,Contoso,"CN=Users,DC=contoso,DC=com"
RONALD,,CLARK,RONALD.CLARK,,,,,,,,111111,,,Contoso,"CN=Users,DC=contoso,DC=com"
ANTHONY,,RODRIGUEZ,ANTHONY.RODRIGUEZ,,,,,,,,iloveu,,,Contoso,"CN=Users,DC=contoso,DC=com"
KEVIN,,LEWIS,KEVIN.LEWIS,,,,,,,,qwerty,,,Contoso,"CN=Users,DC=contoso,DC=com"
JASON,,LEE,JASON.LEE,,,,,,,,michelle,,,Contoso,"CN=Users,DC=contoso,DC=com"
MATTHEW,,WALKER,MATTHEW.WALKER,,,,,,,,tigger,,,Contoso,"CN=Users,DC=contoso,DC=com"
GARY,,HALL,GARY.HALL,,,,,,,,sunshine,,,Contoso,"CN=Users,DC=contoso,DC=com"
TIMOTHY,,ALLEN,TIMOTHY.ALLEN,,,,,,,,chocolate,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOSE,,YOUNG,JOSE.YOUNG,,,,,,,,password1,,,Contoso,"CN=Users,DC=contoso,DC=com"
LARRY,,HERNANDEZ,LARRY.HERNANDEZ,,,,,,,,soccer,,,Contoso,"CN=Users,DC=contoso,DC=com"
JEFFREY,,KING,JEFFREY.KING,,,,,,,,anthony,,,Contoso,"CN=Users,DC=contoso,DC=com"
FRANK,,WRIGHT,FRANK.WRIGHT,,,,,,,,friends,,,Contoso,"CN=Users,DC=contoso,DC=com"
SCOTT,,LOPEZ,SCOTT.LOPEZ,,,,,,,,butterfly,,,Contoso,"CN=Users,DC=contoso,DC=com"
ERIC,,HILL,ERIC.HILL,,,,,,,,purple,,,Contoso,"CN=Users,DC=contoso,DC=com"
STEPHEN,,SCOTT,STEPHEN.SCOTT,,,,,,,,angel,,,Contoso,"CN=Users,DC=contoso,DC=com"
ANDREW,,GREEN,ANDREW.GREEN,,,,,,,,jordan,,,Contoso,"CN=Users,DC=contoso,DC=com"
RAYMOND,,ADAMS,RAYMOND.ADAMS,,,,,,,,liverpool,,,Contoso,"CN=Users,DC=contoso,DC=com"
GREGORY,,BAKER,GREGORY.BAKER,,,,,,,,justin,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOSHUA,,GONZALEZ,JOSHUA.GONZALEZ,,,,,,,,loveme,,,Contoso,"CN=Users,DC=contoso,DC=com"
JERRY,,NELSON,JERRY.NELSON,,,,,,,,fuckyou123,,,Contoso,"CN=Users,DC=contoso,DC=com"
DENNIS,,CARTER,DENNIS.CARTER,,,,,,,,123123,,,Contoso,"CN=Users,DC=contoso,DC=com"
WALTER,,MITCHELL,WALTER.MITCHELL,,,,,,,,football,,,Contoso,"CN=Users,DC=contoso,DC=com"
PATRICK,,PEREZ,PATRICK.PEREZ,,,,,,,,secret!,,,Contoso,"CN=Users,DC=contoso,DC=com"
PETER,,ROBERTS,PETER.ROBERTS,,,,,,,,andrea,,,Contoso,"CN=Users,DC=contoso,DC=com"
HAROLD,,TURNER,HAROLD.TURNER,,,,,,,,carlos,,,Contoso,"CN=Users,DC=contoso,DC=com"
DOUGLAS,,PHILLIPS,DOUGLAS.PHILLIPS,,,,,,,,jennifer82,,,Contoso,"CN=Users,DC=contoso,DC=com"
HENRY,,CAMPBELL,HENRY.CAMPBELL,,,,,,,,joshua,,,Contoso,"CN=Users,DC=contoso,DC=com"
CARL,,PARKER,CARL.PARKER,,,,,,,,bubbles,,,Contoso,"CN=Users,DC=contoso,DC=com"
ARTHUR,,EVANS,ARTHUR.EVANS,,,,,,,,1234567890,,,Contoso,"CN=Users,DC=contoso,DC=com"
RYAN,,EDWARDS,RYAN.EDWARDS,,,,,,,,superman,,,Contoso,"CN=Users,DC=contoso,DC=com"
ROGER,,COLLINS,ROGER.COLLINS,,,,,,,,hannah,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOE,,STEWART,JOE.STEWART,,,,,,,,amanda,,,Contoso,"CN=Users,DC=contoso,DC=com"
JUAN,,SANCHEZ,JUAN.SANCHEZ,,,,,,,,loveyou,,,Contoso,"CN=Users,DC=contoso,DC=com"
JACK,,MORRIS,JACK.MORRIS,,,,,,,,pretty,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALBERT,,ROGERS,ALBERT.ROGERS,,,,,,,,basketball,,,Contoso,"CN=Users,DC=contoso,DC=com"
JONATHAN,,REED,JONATHAN.REED,,,,,,,,andrew,,,Contoso,"CN=Users,DC=contoso,DC=com"
JUSTIN,,COOK,JUSTIN.COOK,,,,,,,,angels,,,Contoso,"CN=Users,DC=contoso,DC=com"
TERRY,,MORGAN,TERRY.MORGAN,,,,,,,,tweety,,,Contoso,"CN=Users,DC=contoso,DC=com"
GERALD,,BELL,GERALD.BELL,,,,,,,,flower,,,Contoso,"CN=Users,DC=contoso,DC=com"
KEITH,,MURPHY,KEITH.MURPHY,,,,,,,,playboy666,,,Contoso,"CN=Users,DC=contoso,DC=com"
SAMUEL,,BAILEY,SAMUEL.BAILEY,,,,,,,,hello,,,Contoso,"CN=Users,DC=contoso,DC=com"
WILLIE,,RIVERA,WILLIE.RIVERA,,,,,,,,elizabeth,,,Contoso,"CN=Users,DC=contoso,DC=com"
RALPH,,COOPER,RALPH.COOPER,,,,,,,,hottie,,,Contoso,"CN=Users,DC=contoso,DC=com"
LAWRENCE,,RICHARDSON,LAWRENCE.RICHARDSON,,,,,,,,tinkerbell,,,Contoso,"CN=Users,DC=contoso,DC=com"
NICHOLAS,,COX,NICHOLAS.COX,,,,,,,,charlie,,,Contoso,"CN=Users,DC=contoso,DC=com"
ROY,,HOWARD,ROY.HOWARD,,,,,,,,samantha,,,Contoso,"CN=Users,DC=contoso,DC=com"
BENJAMIN,,WARD,BENJAMIN.WARD,,,,,,,,barbie,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRUCE,,TORRES,BRUCE.TORRES,,,,,,,,chelsea,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRANDON,,PETERSON,BRANDON.PETERSON,,,,,,,,lovers,,,Contoso,"CN=Users,DC=contoso,DC=com"
ADAM,,GRAY,ADAM.GRAY,,,,,,,,teamo,,,Contoso,"CN=Users,DC=contoso,DC=com"
HARRY,,RAMIREZ,HARRY.RAMIREZ,,,,,,,,jasmine,,,Contoso,"CN=Users,DC=contoso,DC=com"
FRED,,JAMES,FRED.JAMES,,,,,,,,brandon,,,Contoso,"CN=Users,DC=contoso,DC=com"
WAYNE,,WATSON,WAYNE.WATSON,,,,,,,,666666,,,Contoso,"CN=Users,DC=contoso,DC=com"
BILLY,,BROOKS,BILLY.BROOKS,,,,,,,,shadow,,,Contoso,"CN=Users,DC=contoso,DC=com"
